type,longitude,latitutde,place
S'mores Fries,-73.9979,40.73307,Sticky's Finger Joint
S'mores Bar,-73.99485,40.72293,Little Cupcake Bakeshop
Build Your Own S'mores,-73.94937,40.78081,DTUT
S'mores Cookie,-73.99094,40.76011,Schmackary's
S'mores in a Jar,-73.98869,40.74427,The Smith
S'mores Pizza,-74.00634,40.74022,Catch NYC
Skillet S'mores,-73.96007,40.7795,Grazie
S'mores Pie,-73.95841,40.67007,Butter & Scotch
S'mores Calzone,-73.96643,40.68356,Pizza Loves Emily
S'mores Gelato,-73.96702,40.76421,CoolMess
S'mores Dip,-73.9846,40.74531,Blank Slate NYC
S'mores Cake,-74.00011,40.73447,Quality Eats
S'mores Cupcake,-74.00896,40.71039,Buttercup Bakeshop
S'mores Pie,-73.9614,40.7112,Pies 'n Thighs